[13:35:03:687]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司第三届监事会第五次会议决议公告/2014-12-25
[13:35:04:218]  upload _600023_DOCLST.dat
[13:35:04:531]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:35:04:531]  upload _StockDocIdxLst.dat
[13:35:04:859]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:35:04:859]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:35:10:953]  doclst.dat cls ok.
[13:35:10:953]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司股东大会议事规则（2014年12月）/2014-12-25
[13:35:11:421]  upload _600023_DOCLST.dat
[13:35:11:640]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:35:11:640]  upload _StockDocIdxLst.dat
[13:35:11:859]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:35:11:859]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:35:17:937]  doclst.dat cls ok.
[13:35:18:031]  处理错误公告...600267,格力地产股份有限公司2014年可转换公司债券信用评级分析报告/2014-12-25
[13:35:22:828]  upload _600267_DOCLST.dat
[13:35:23:125]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:35:23:125]  upload _StockDocIdxLst.dat
[13:35:23:453]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:35:23:468]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:35:54:921]  doclst.dat cls ok.
[13:35:54:921]  处理错误公告...600267,格力地产股份有限公司公开发行可转换公司债券发行方案提示性公告/2014-12-25
[13:35:59:671]  upload _600267_DOCLST.dat
[13:35:59:875]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:35:59:875]  upload _StockDocIdxLst.dat
[13:36:00:093]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:36:00:109]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:36:31:203]  doclst.dat cls ok.
